Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,192,5,Some Random Commen with Id 0
1,0,0,22,7,Some Random Commen with Id 1
2,0,0,107,3,Some Random Commen with Id 2
3,0,0,194,3,Some Random Commen with Id 3
4,0,0,156,4,Some Random Commen with Id 4
5,0,0,134,7,Some Random Commen with Id 5
6,0,0,161,5,Some Random Commen with Id 6
7,1,2,87,9,Some Random Commen with Id 7
8,1,2,100,6,Some Random Commen with Id 8
9,2,5,76,7,Some Random Commen with Id 9
10,2,5,87,3,Some Random Commen with Id 10
11,2,5,74,2,Some Random Commen with Id 11
12,2,5,60,6,Some Random Commen with Id 12
13,2,5,32,4,Some Random Commen with Id 13
14,2,5,159,5,Some Random Commen with Id 14
15,2,5,90,8,Some Random Commen with Id 15
16,3,1,166,4,Some Random Commen with Id 16
17,3,1,147,2,Some Random Commen with Id 17
18,3,1,121,0,Some Random Commen with Id 18
19,3,1,150,7,Some Random Commen with Id 19
20,3,1,122,5,Some Random Commen with Id 20
21,3,1,170,0,Some Random Commen with Id 21
22,3,1,77,4,Some Random Commen with Id 22
23,3,1,100,4,Some Random Commen with Id 23
24,3,1,111,0,Some Random Commen with Id 24
25,4,8,73,1,Some Random Commen with Id 25
26,4,8,104,0,Some Random Commen with Id 26
27,4,8,179,3,Some Random Commen with Id 27
28,4,8,108,6,Some Random Commen with Id 28
29,5,2,0,1,Some Random Commen with Id 29
30,5,2,125,9,Some Random Commen with Id 30
31,5,2,149,8,Some Random Commen with Id 31
32,5,2,73,5,Some Random Commen with Id 32
33,5,2,85,4,Some Random Commen with Id 33
34,5,2,40,6,Some Random Commen with Id 34
35,5,2,150,1,Some Random Commen with Id 35
36,5,2,82,4,Some Random Commen with Id 36
37,5,2,195,3,Some Random Commen with Id 37
38,6,9,176,1,Some Random Commen with Id 38
39,6,9,112,5,Some Random Commen with Id 39
40,6,9,199,0,Some Random Commen with Id 40
41,6,9,176,4,Some Random Commen with Id 41
42,6,9,140,0,Some Random Commen with Id 42
43,7,9,17,2,Some Random Commen with Id 43
44,8,6,23,5,Some Random Commen with Id 44
45,8,6,147,7,Some Random Commen with Id 45
46,8,6,50,8,Some Random Commen with Id 46
47,8,6,90,2,Some Random Commen with Id 47
48,8,6,79,2,Some Random Commen with Id 48
49,8,6,44,5,Some Random Commen with Id 49
50,8,6,188,2,Some Random Commen with Id 50
51,8,6,65,7,Some Random Commen with Id 51
52,9,6,131,8,Some Random Commen with Id 52
53,9,6,175,8,Some Random Commen with Id 53
54,9,6,180,8,Some Random Commen with Id 54
55,9,6,82,9,Some Random Commen with Id 55
56,9,6,185,6,Some Random Commen with Id 56
57,10,9,13,1,Some Random Commen with Id 57
58,11,0,115,7,Some Random Commen with Id 58
59,11,0,112,2,Some Random Commen with Id 59
60,11,0,69,7,Some Random Commen with Id 60
61,11,0,160,2,Some Random Commen with Id 61
62,11,0,114,6,Some Random Commen with Id 62
63,11,0,5,3,Some Random Commen with Id 63
64,11,0,95,0,Some Random Commen with Id 64
65,12,8,189,7,Some Random Commen with Id 65
66,12,8,122,3,Some Random Commen with Id 66
67,12,8,74,1,Some Random Commen with Id 67
68,13,4,135,8,Some Random Commen with Id 68
69,14,7,198,5,Some Random Commen with Id 69
70,14,7,152,5,Some Random Commen with Id 70
71,14,7,85,2,Some Random Commen with Id 71
72,14,7,37,4,Some Random Commen with Id 72
73,14,7,67,9,Some Random Commen with Id 73
74,14,7,109,8,Some Random Commen with Id 74
75,14,7,102,1,Some Random Commen with Id 75
76,14,7,112,8,Some Random Commen with Id 76
77,15,7,106,3,Some Random Commen with Id 77
78,16,7,85,6,Some Random Commen with Id 78
79,16,7,30,5,Some Random Commen with Id 79
80,16,7,81,8,Some Random Commen with Id 80
81,16,7,198,7,Some Random Commen with Id 81
82,16,7,123,5,Some Random Commen with Id 82
83,16,7,81,2,Some Random Commen with Id 83
84,16,7,120,5,Some Random Commen with Id 84
85,16,7,92,5,Some Random Commen with Id 85
86,17,0,18,6,Some Random Commen with Id 86
87,17,0,195,4,Some Random Commen with Id 87
88,17,0,173,3,Some Random Commen with Id 88
89,17,0,178,6,Some Random Commen with Id 89
90,17,0,76,0,Some Random Commen with Id 90
91,17,0,139,1,Some Random Commen with Id 91
92,17,0,24,2,Some Random Commen with Id 92
93,18,8,52,6,Some Random Commen with Id 93
94,19,5,137,3,Some Random Commen with Id 94
95,19,5,128,5,Some Random Commen with Id 95
96,19,5,28,1,Some Random Commen with Id 96
97,19,5,175,1,Some Random Commen with Id 97
98,20,3,160,8,Some Random Commen with Id 98
99,20,3,61,2,Some Random Commen with Id 99
100,20,3,93,9,Some Random Commen with Id 100
101,20,3,130,9,Some Random Commen with Id 101
102,21,7,81,7,Some Random Commen with Id 102
103,21,7,101,4,Some Random Commen with Id 103
104,21,7,26,5,Some Random Commen with Id 104
105,21,7,67,8,Some Random Commen with Id 105
106,21,7,177,0,Some Random Commen with Id 106
107,21,7,123,6,Some Random Commen with Id 107
108,21,7,6,7,Some Random Commen with Id 108
109,21,7,122,5,Some Random Commen with Id 109
110,21,7,50,0,Some Random Commen with Id 110
111,22,1,44,9,Some Random Commen with Id 111
112,22,1,46,9,Some Random Commen with Id 112
113,22,1,15,1,Some Random Commen with Id 113
114,22,1,15,8,Some Random Commen with Id 114
115,22,1,10,2,Some Random Commen with Id 115
116,22,1,35,1,Some Random Commen with Id 116
117,22,1,29,1,Some Random Commen with Id 117
118,23,9,58,0,Some Random Commen with Id 118
119,23,9,93,6,Some Random Commen with Id 119
120,23,9,55,7,Some Random Commen with Id 120
121,23,9,101,3,Some Random Commen with Id 121
122,23,9,95,4,Some Random Commen with Id 122
123,23,9,77,5,Some Random Commen with Id 123
124,23,9,39,6,Some Random Commen with Id 124
125,23,9,123,5,Some Random Commen with Id 125
126,23,9,36,7,Some Random Commen with Id 126
127,24,1,111,5,Some Random Commen with Id 127
128,24,1,78,3,Some Random Commen with Id 128
129,24,1,17,8,Some Random Commen with Id 129
130,24,1,178,1,Some Random Commen with Id 130
131,24,1,177,4,Some Random Commen with Id 131
132,24,1,14,7,Some Random Commen with Id 132
133,24,1,167,6,Some Random Commen with Id 133
134,24,1,152,6,Some Random Commen with Id 134
135,25,6,149,0,Some Random Commen with Id 135
136,26,6,165,7,Some Random Commen with Id 136
